Current(A)	Counts(n)
-20.0000	200.0000
-19.9800	200.9425
-19.9600	201.8849
-19.9400	202.8273
-19.9200	203.7697
-19.9000	204.7120
-19.8800	205.6541
-19.8600	206.5961
-19.8400	207.5380
-19.8200	208.4798
-19.8000	209.4213
-19.7800	210.3626
-19.7600	211.3037
-19.7400	212.2445
-19.7200	213.1851
-19.7000	214.1254
-19.6800	215.0654
-19.6600	216.0050
-19.6400	216.9443
-19.6200	217.8832
-19.6000	218.8217
-19.5800	219.7597
-19.5600	220.6974
-19.5400	221.6346
-19.5200	222.5713
-19.5000	223.5075
-19.4800	224.4432
-19.4600	225.3783
-19.4400	226.3129
-19.4200	227.2469
-19.4000	228.1802
-19.3800	229.1130
-19.3600	230.0451
-19.3400	230.9766
-19.3200	231.9073
-19.3000	232.8374
-19.2800	233.7667
-19.2600	234.6953
-19.2400	235.6231
-19.2200	236.5501
-19.2000	237.4763
-19.1800	238.4016
-19.1600	239.3261
-19.1400	240.2498
-19.1200	241.1725
-19.1000	242.0944
-19.0800	243.0152
-19.0600	243.9352
-19.0400	244.8542
-19.0200	245.7721
-19.0000	246.6891
-18.9800	247.6050
-18.9600	248.5198
-18.9400	249.4336
-18.9200	250.3463
-18.9000	251.2579
-18.8800	252.1683
-18.8600	253.0776
-18.8400	253.9857
-18.8200	254.8925
-18.8000	255.7982
-18.7800	256.7027
-18.7600	257.6058
-18.7400	258.5077
-18.7200	259.4083
-18.7000	260.3076
-18.6800	261.2055
-18.6600	262.1021
-18.6400	262.9973
-18.6200	263.8911
-18.6000	264.7835
-18.5800	265.6744
-18.5600	266.5639
-18.5400	267.4519
-18.5200	268.3384
-18.5000	269.2234
-18.4800	270.1069
-18.4600	270.9888
-18.4400	271.8691
-18.4200	272.7478
-18.4000	273.6249
-18.3800	274.5004
-18.3600	275.3742
-18.3400	276.2463
-18.3200	277.1168
-18.3000	277.9855
-18.2800	278.8525
-18.2600	279.7178
-18.2400	280.5813
-18.2200	281.4430
-18.2000	282.3029
-18.1800	283.1609
-18.1600	284.0171
-18.1400	284.8715
-18.1200	285.7240
-18.1000	286.5745
-18.0800	287.4232
-18.0600	288.2698
-18.0400	289.1146
-18.0200	289.9573
-18.0000	290.7981
-17.9800	291.6368
-17.9600	292.4736
-17.9400	293.3082
-17.9200	294.1408
-17.9000	294.9713
-17.8800	295.7997
-17.8600	296.6259
-17.8400	297.4500
-17.8200	298.2720
-17.8000	299.0917
-17.7800	299.9093
-17.7600	300.7246
-17.7400	301.5377
-17.7200	302.3486
-17.7000	303.1572
-17.6800	303.9635
-17.6600	304.7674
-17.6400	305.5691
-17.6200	306.3684
-17.6000	307.1654
-17.5800	307.9599
-17.5600	308.7521
-17.5400	309.5419
-17.5200	310.3292
-17.5000	311.1140
-17.4800	311.8965
-17.4600	312.6764
-17.4400	313.4538
-17.4200	314.2287
-17.4000	315.0011
-17.3800	315.7709
-17.3600	316.5381
-17.3400	317.3027
-17.3200	318.0648
-17.3000	318.8242
-17.2800	319.5810
-17.2600	320.3351
-17.2400	321.0866
-17.2200	321.8353
-17.2000	322.5814
-17.1800	323.3248
-17.1600	324.0654
-17.1400	324.8032
-17.1200	325.5383
-17.1000	326.2706
-17.0800	327.0000
-17.0600	327.7267
-17.0400	328.4505
-17.0200	329.1715
-17.0000	329.8896
-16.9800	330.6048
-16.9600	331.3172
-16.9400	332.0266
-16.9200	332.7330
-16.9000	333.4366
-16.8800	334.1371
-16.8600	334.8347
-16.8400	335.5293
-16.8200	336.2209
-16.8000	336.9094
-16.7800	337.5949
-16.7600	338.2774
-16.7400	338.9568
-16.7200	339.6331
-16.7000	340.3063
-16.6800	340.9764
-16.6600	341.6433
-16.6400	342.3071
-16.6200	342.9678
-16.6000	343.6253
-16.5800	344.2795
-16.5600	344.9306
-16.5400	345.5785
-16.5200	346.2231
-16.5000	346.8645
-16.4800	347.5026
-16.4600	348.1375
-16.4400	348.7690
-16.4200	349.3973
-16.4000	350.0222
-16.3800	350.6438
-16.3600	351.2621
-16.3400	351.8770
-16.3200	352.4885
-16.3000	353.0966
-16.2800	353.7014
-16.2600	354.3027
-16.2400	354.9006
-16.2200	355.4951
