Current(A)	Counts(n)
-40.0000	5000.0000
-39.6800	5188.4509
-39.3600	5376.6340
-39.0400	5564.2819
-38.7200	5751.1279
-38.4000	5936.9066
-38.0800	6121.3538
-37.7600	6304.2075
-37.4400	6485.2079
-37.1200	6664.0977
-36.8000	6840.6228
-36.4800	7014.5322
-36.1600	7185.5788
-35.8400	7353.5197
-35.5200	7518.1160
-35.2000	7679.1340
-34.8800	7836.3447
-34.5600	7989.5249
-34.2400	8138.4568
-33.9200	8282.9288
-33.6000	8422.7355
-33.2800	8557.6784
-32.9600	8687.5656
-32.6400	8812.2126
-32.3200	8931.4422
-32.0000	9045.0850
-31.6800	9152.9795
-31.3600	9254.9724
-31.0400	9350.9188
-30.7200	9440.6822
-30.4000	9524.1353
-30.0800	9601.1592
-29.7600	9671.6447
-29.4400	9735.4915
-29.1200	9792.6089
-28.8000	9842.9158
-28.4800	9886.3406
-28.1600	9922.8217
-27.8400	9952.3071
-27.5200	9974.7551
-27.2000	9990.1336
-26.8800	9998.4209
-26.5600	9999.6052
-26.2400	9993.6848
-25.9200	9980.6680
-25.6000	9960.5735
-25.2800	9933.4297
-24.9600	9899.2753
-24.6400	9858.1587
-24.3200	9810.1384
-24.0000	9755.2826
-23.6800	9693.6693
-23.3600	9625.3860
-23.0400	9550.5299
-22.7200	9469.2071
-22.4000	9381.5334
-22.0800	9287.6333
-21.7600	9187.6402
-21.4400	9081.6963
-21.1200	8969.9520
-20.8000	8852.5662
-20.4800	8729.7057
-20.1600	8601.5451
-19.8400	8468.2665
-19.5200	8330.0593
-19.2000	8187.1199
-18.8800	8039.6515
-18.5600	7887.8635
-18.2400	7731.9717
-17.9200	7572.1977
-17.6000	7408.7684
-17.2800	7241.9161
-16.9600	7071.8779
-16.6400	6898.8955
-16.3200	6723.2146
-16.0000	6545.0850
-15.6800	6364.7597
-15.3600	6182.4950
-15.0400	5998.5499
-14.7200	5813.1858
-14.4000	5626.6662
-14.0800	5439.2560
-13.7600	5251.2216
-13.4400	5062.8302
-13.1200	4874.3495
-12.8000	4686.0474
-12.4800	4498.1914
-12.1600	4311.0485
-11.8400	4124.8847
-11.5200	3939.9645
-11.2000	3756.5506
-10.8800	3574.9037
-10.5600	3395.2820
-10.2400	3217.9406
 -9.9200	3043.1317
 -9.6000	2871.1035
 -9.2800	2702.1007
 -8.9600	2536.3633
 -8.6400	2374.1269
 -8.3200	2215.6219
 -8.0000	2061.0737
 -7.6800	1910.7019
 -7.3600	1764.7202
 -7.0400	1623.3360
 -6.7200	1486.7502
 -6.4000	1355.1569
 -6.0800	1228.7431
 -5.7600	1107.6885
 -5.4400	992.1651
 -5.1200	882.3370
 -4.8000	778.3604
 -4.4800	680.3829
 -4.1600	588.5439
 -3.8400	502.9737
 -3.5200	423.7941
 -3.2000	351.1176
 -2.8800	285.0473
 -2.5600	225.6773
 -2.2400	173.0918
 -1.9200	127.3656
 -1.6000	 88.5637
 -1.2800	 56.7413
 -0.9600	 31.9434
 -0.6400	 14.2055
 -0.3200	  3.5526
  0.0000	  0.0000
  0.3200	  3.5526
  0.6400	 14.2055
  0.9600	 31.9434
  1.2800	 56.7413
  1.6000	 88.5637
  1.9200	127.3656
  2.2400	173.0918
  2.5600	225.6773
  2.8800	285.0473
  3.2000	351.1176
  3.5200	423.7941
  3.8400	502.9737
  4.1600	588.5439
  4.4800	680.3829
  4.8000	778.3604
  5.1200	882.3370
  5.4400	992.1651
  5.7600	1107.6885
  6.0800	1228.7431
  6.4000	1355.1569
  6.7200	1486.7502
  7.0400	1623.3360
  7.3600	1764.7202
  7.6800	1910.7019
  8.0000	2061.0737
  8.3200	2215.6219
  8.6400	2374.1269
  8.9600	2536.3633
  9.2800	2702.1007
  9.6000	2871.1035
  9.9200	3043.1317
 10.2400	3217.9406
 10.5600	3395.2820
 10.8800	3574.9037
 11.2000	3756.5506
 11.5200	3939.9645
